frmAudioEngine.frmAudioEngine	Audio Engine	Engine de áudio
frmRecordingSetup.chkEnabled	Enabled	Ativado
frmRegistration.frmRegistration	vMix Registration	Registrar vMix
frmRegistration.lnkBasic	Visit https://register.vmix.com/ to register for the FREE Basic Edition	Visite https://register.vmix.com/ para adquirir a Edição Básica GRATUITA
frmRegistration.cmdCancel	Cancel	Cancelar
frmRegistration.lblInternetAccess	Internet access required to complete Registration	Para concluir a inscrição é necessário acesso à internet
frmRegistration.lblRegistration	Registration	Registrar
frmRegistration.lblEmailAddressB	Email Address	E-mail
frmRegistration.rTrial	Register for a fully functional 60 Day Trial	Inscrever-se para um teste completamente funcional de 60 dias
frmRegistration.lnkvMix	Visit http://www.vmix.com/ to purchase a Registration Key	Visite http://www.vmix.com/ para adquirir uma chave de registro
frmRegistration.lblEmailAddressA	Email Address	E-mail
frmRegistration.lblKey	Key	Chave de registro
frmRegistration.rFree	Register for the FREE Basic Edition	Inscreva-se para a Edição Básica GRATUITA
frmRegistration.rKey	I have a Registration Key	Eu tenho uma chave de registro
frmSettings.frmSettings	Settings	Configurações
frmSettings.lblProductName	vMix	vMix
frmSettings.lnkLicenses	View Open Source Licenses	Ver licenças open sources
frmSettings.lnkPrivacyPolicy	View Privacy Policy	Ver política de privacidade
frmSettings.lnkEULA	View End User Licensing Agreement	Ver acordo de licenciamento de usuário final
frmSettings.cmdSendReport	Send Support Report	Enviar relatório suporte
frmSettings.chkUpdateCheck	Check for updates on startup	Verificar se há atualizações na inicialização
frmSettings.lblFeatures	Features:	Características:
frmSettings.lblCaptureInputs	Capture Inputs:	Inpust de captura:
frmSettings.lblInputs	Inputs:	Inputs:
frmSettings.lblMaximumSize	Maximum Size:	Tamanho máximo:
frmSettings.lblExpiryDate	Expiry Date:	Data de expiração:
frmSettings.lblVersion	Version:	Versão:
frmSettings.cmdChangeRegistration	Change Registration Key	Alterar chave de registro
frmSettings.chkNDIThumbnails	Show preview thumbnails when browsing NDI sources	Mostrar miniaturas de visualização das fontes NDI
frmSettings.chkPerformanceAlerts	Show GPU / CPU alerts	Mostrar alertas da GPU / CPU
frmSettings.lblDisplayMethod	Display Method:	Método de exibição:
frmSettings.chkDisableWindowsUpdate	Disable Windows Update when vMix is running	Desativar o Windows Update quando vMix estiver sendo executado
frmSettings.lblHighPerformanceMode	For graphics cards with 3GB+ memory only	Para placas gráficas com mais de 3GB de memória
frmSettings.chkHighPerformanceMode	High Input Performance Mode	Modo alta performance de entrada
frmSettings.Label1	Graphics Adapter:	Placa de vídeo:
frmSettings.chkNDIFeim	NDI Faulty encoder isolation mode	Modo de isolamento de falha do encoder NDI (FEIM)
frmSettings.chkPerfReadLock	High Output Performance Mode	Modo de alto desempenho de saída
frmSettings.chkGTSurfaceLock	Lock GT Surfaces	Lock GT Surfaces
frmSettings.lblPreviewSkip	Preview Skip:	Pular frames no Preview:
frmSettings.chkDirect3D9ExPreview	Enable FlipEx on Previews	Ativar FlipEx nos Previews
frmSettings.chkOptimus	Enable Optimus Graphics compatibility	Habilitar a compatibilidade Optimus Graphics
frmSettings.lblApplicationPriority	Application Priority:	Prioridade da aplicação:
frmSettings.chkDirect3D9Ex	Enable FlipEx on Fullscreen	Ativar FlipEx em Fullscreen
frmSettings.lblOutputFormat	Output Format:	Formato de saída:
frmSettings.lblVideoRenderer	Video Renderer:	Renderizador de vídeo:
frmSettings.chkLockBackBuffer	Synchronize Output with Refresh Rate	Sincronizar saída com taxa de atualização
frmSettings.chkYUVFix	Automatically convert 16-235 to 0-255 for YUV inputs	Converter 16-235 para 0-255 em inputs YUV
frmSettings.chkMemoryLock	Memory Lock	Memory Lock
frmSettings.chkDisableInputEffects	Disable Effects on Input Previews	Desativar efeitos do input no Preview
frmSettings.lblActiveAdapter	In Use: None	Em uso: None
frmSettings.lblAdapter	Graphics Adapter:	Placa de vídeo:
frmSettings.chkCaptureLowLatency	Low Latency Capture	Captura em modo baixa latência
frmSettings.chkTCPLanOnly	Restrict access to LAN only	Restringir o acesso apenas à LAN
frmSettings.chkWebLANOnly	Restrict access to LAN only	Restringir o acesso apenas à LAN
frmSettings.lblTCPAPI	TCP API:	API via TCP:
frmSettings.chkTCPAPI	Enabled	Habilitado
frmSettings.chkWebSecurity	Enable enhanced security on Web and TCP API	Habilitar segurança aprimorada na Web e API via TCP
frmSettings.chkWebLocalhostAccess	Allow software on this computer access without login.	Permitir que os programas desse computador acessem sem login.
frmSettings.lblWebPermit	Allow access to following pages without login:	Permitir acesso às seguintes áreas sem login:
frmSettings.lblWebPassword	Password:	Senha:
frmSettings.lblUsername	Username:	Usuário:
frmSettings.lblWebControllerDescription	TIP: The Web Site Address above can be used to control vMix from any device on the same network including Android, iPad, Surface and Mobile Phones. Simply type it into the browser on that device.	DICA: O endereço do site acima pode ser usado para controlar o vMix de qualquer dispositivo na mesma rede, incluindo Android, iPad, Surface e Celulares. Apenas digite o endereço no navegador desse dispositivo.
frmSettings.txtWebServerLink	Not Enabled	Não habilitado
frmSettings.chkWebServerEnabled	Enabled	Habilitado
frmSettings.lblWebServerAddress	Web Site Address:	Endereço:
frmSettings.lblPort	Port:	Porta:
frmSettings.lblAudioDrop	Audio Gap Handling:	Tratamento de áudio perdido:
frmSettings.chkAudioMixerFollowsCategories	Hide Audio Mixers based on selected Category	Ocultar mixers de áudio com base na categoria selecionada
frmSettings.chkNotificationSounds	Enable Notification Sounds (for Video Call messages etc)	Ativar sons de notificação (para mensagens de videochamada, etc.)
frmSettings.cmdTestVoice	Test	Teste
frmSettings.lblVoiceShortcuts	Voice Shortcuts	Atalhos de voz
frmSettings.chkVoice	Enabled	Ativado
frmSettings.lblVoiceAudio	Audio Source:	Fonte de áudio:
frmSettings.lblVoiceConfidence	Confidence:	Confiança:
frmSettings.lblAudioSource	Recording Audio:	Gravação de áudio:
frmSettings.lblAudioSourceDescription	The selected Audio Device will be used for Recording, Streaming and External Output	O dispositivo de áudio selecionado será usado para gravação, transmissão e saída externa
frmSettings.lblAudioSourceFormat	Format:	Formato:
frmSettings.lblMasterBitRate	Master Bit Rate:	Taxa de Bits master:
frmSettings.lblSamplingRate	Master Sample Rate:	Taxa de amostragem master:
frmSettings.lblAudioDelayMilliseconds	milliseconds	milissegundos
frmSettings.lblDefaultAudioDelay	Default Input Audio Delay:	Atraso de áudio padrão do input:
frmSettings.chkFTBAudio	Fade To Black includes Audio	Fade To Black inclui áudio
frmSettings.chkInputAudioMeter	Show Audio Meter next to Inputs	Exibir medidor de áudio ao lado dos inputs
frmSettings.chkAutoAudioMixing	Automatically Mix Audio	Mixar áudio automaticamente
frmSettings.chkMasterAudioMeter	Show Master Audio Meter in Main Window	Exibir medidor de áudio master na janela principal
frmSettings.chkSonyPTZNDI	Enable Sony VISCA over IP with NDI	Habilitar Sony VISCA sobre IP com NDI
frmSettings.chkStartSRTOutput	Start SRT Output	Iniciar saída SRT
frmSettings.chkGlobalDataSources	Save Data Sources in Global Settings	Salvar Data Sources nas configurações globais
frmSettings.chkTBarTriggers	Enable Triggers on T-Bar	Ativar triggers na T-Bar
frmSettings.chkControllerNotifications	Controller Plug And Play Enabled	Controlador Plug and Play ativado
frmSettings.chkInputCloseConfirm	Display confirmation for Input Close button	Exibir confirmação ao ferchar um input
frmSettings.chkShowProductionClocks	Production Clocks	Relógios de produção
frmSettings.chkShowFTB	FTB	FTB
frmSettings.chkShowTBar	T-Bar	T-Bar
frmSettings.chkShowTransition24	Transitions 2-4	Transições 2-4
frmSettings.chkShowQuickPlay	QuickPlay	QuickPlay
frmSettings.lblTransitionDisplay	Transition Display:	Mostrar na Transição:
frmSettings.chkShowOverlays	Overlay	Overlay
frmSettings.chkControlSurfaceEnabled	vMix Control Surface Enabled	Superfície de controle ativada
frmSettings.chkMultiInstance	Enable Multiple Instances	Permitir múltiplas instâncias do vMix
frmSettings.chkRememberWindowPosition	Remember Window Position	Lembrar posição da janela
frmSettings.chkRecordingConfirm	Display confirmation for Record, External, Stream and MultiCorder buttons	Exibir confirmação para botões de Gravação, Extenal, Stream e MultiCorder
frmSettings.chkPreviewClick	Activate QuickPlay by clicking Preview Window	Ativar QuickPlay clicando janela de Preview
frmSettings.lblLanguage	Language:	Idioma:
frmSettings.chkExternal	Start External Output	Iniciar saída externa
frmSettings.chkPausePreview	Automatically Pause Preview Input after Transition	Pausar automaticamente o input depois de uma transição
frmSettings.chkMaximised	Start Maximised	Iniciar maximizado
frmSettings.chkAdvanced	Start in Advanced mode	Iniciar em modo avançado
frmSettings.chkRestartActive	Automatically Restart Output Input with Transition	Reiniciar automaticamente o input em uma transição
frmSettings.chkFullscreen	Start Fullscreen display	Iniciar monitor em tela cheia
frmSettings.chkPlayActive	Automatically Play Output Input with Transition	Reproduzir automaticamente o input em uma transição
frmSettings.lblMilliseconds	Milliseconds	Milissegundos
frmSettings.lblQuickPlayTransition	QuickPlay Transition:	Transição QuickPlay:
frmSettings.lblQuickPlayDuration	QuickPlay Duration:	Duração QuickPlay:
frmSettings.chkRecordingAlert	Display alert on UI and MultiView when NOT Recording	Exibir alerta na interface e MultiView quando NÃO estiver gravando
frmSettings.lblRecordingAlert	No Recording Alert	Alerta de não gravação
frmSettings.chkFTBAlert	Display alert on UI and MultiView when Fade To Black (FTB) enabled	Exibir alerta na interface e no MultiView quando Fade To Black (FTB) estiver ativado
frmSettings.lblFTBAlert	Fade To Black Alert	Alerta Fade To Black
frmSettings.lblAlertSeconds	seconds.	segundos.
frmSettings.lblAlertDB	dB for	dB por
frmSettings.chkVolumeAlert	Display alert on UI and MultiView when Volume drops below	Exibir alerta na interface e MultiView quando o volume estiver abaixo de
frmSettings.lblVolumeAlert	Volume Alert	Alerta de volume
frmSettings.cmdMVInputs	Customise Layout	Personalize o layout
frmSettings.lblOutputsDescription	Description	Descrição
frmSettings.lblNDIAdditional	Additional NDI Outputs	Saídas NDI adicionais
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblOutputsOverlay	Overlays	Overlays
frmSettings.lblOutputsSource	Source	Fonte
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.lblName	Output	Saída
frmSettings.cmdNDI	NDI OFF	NDI Desl.
frmSettings.cmdMVStandard	Legacy	Legado
frmSettings.lblMultiViewLayout	MultiView Layout	Layout do MultiView
frmSettings.chkInputNumbers	Show Input Numbers	Exibir números dos inputs
frmSettings.lblFullscreen	Fullscreen:	Fullscreen:
frmSettings.cmdDisplay2	Fullscreen 2	Fullscreen 2
frmSettings.cmdDisplay1	Fullscreen 1	Fullscreen 1
frmSettings.lblActiveColour	Output Colour:	Cor da saída:
frmSettings.lblPreviewColour	Preview Colour:	Cor do preview:
frmSettings.lblOutputSize	Output Size:	Tamanho da saída:
frmSettings.lblOutputAspectRatio	Output Aspect Ratio:	Proporção da saída:
frmSettings.lblInputSize	Input Size:	Tamanho do input:
frmSettings.lblOutputScreen	Display:	Tela:
frmSettings.lblTheme	Theme:	Tema:
frmSettings.lblSystem	Master Frame Rate:	Frame rate master:
frmSettings.chkOutputMinimise	Minimise	Minimizar
frmSettings.chkOutputAlwaysOnTop	On Top	Fixar acima
frmSettings.lblOutputPosition	Position:	Posição:
frmSettings.chkOutputHideCursor	Hide Cursor	Ocultar o cursor
frmSettings.lblDefaultAudioBus	Default Bus for New Inputs	Bus padrão para novos inputs
frmSettings.lblDefaultAudioRenderer	Master Output	Saída Master
frmSettings.lblHeadphonesAudio	Headphones	Fones de ouvido
frmSettings.cmdFind	Find	Buscar
frmSettings.cmdSCJoystick	Joystick	Joystick
frmSettings.cmdSCShuttle	Shuttle PRO	Shuttle PRO
frmSettings.cmdSCXKeys	Surface	Surface
frmSettings.cmdSCKB	Keyboard	Teclado
frmSettings.cmdSCMIDI	MIDI	MIDI
frmSettings.cmdSCAll	All	Todos
frmSettings.cmdCloneShortcut	Clone	Duplicar
frmSettings.cmdMIDI	MIDI Settings	Configurações MIDI
frmSettings.cmdTemplates	Templates	Modelos
frmSettings.cmdEditShortcut	Edit	Editar
frmSettings.cmdRemoveShortcut	Remove	Remover
frmSettings.cmdAddShortcut	Add	Adicionar
frmSettings.chkExternalUseDisplaySettings	Use Display Settings	Usar definições do monitor
frmSettings.chkExternalUseStreamingSettings	Use Streaming Settings	Usar definições da transmissão
frmSettings.cmdAux2	External 2	Saída externa 2
frmSettings.cmdAux1	External	Saída externa
frmSettings.cVirtual	vMix Video / Streaming	vMix Video / Transmissão
frmSettings.cDeckLink	External Renderer	Renderizador externo
frmSettings.lblExSystem	Frame Rate:	Frame rate:
frmSettings.lblExtAlpha	Alpha Channel:	Canal alfa:
frmSettings.lblExtAudioChannels	Audio Channels:	Canais de áudio:
frmSettings.lblExPort	Port:	Porta:
frmSettings.lblExDevice	Device:	Dispositivo:
frmSettings.lblExAudioDevice	Audio Device:	Dispositivo de áudio:
frmSettings.lblDelayInfo	This sets a delay on the audio input in milliseconds. For example if the audio is earlier than the video by 200ms, type in 200 here	Configura um atraso no áudio em milissegundos. Por exemplo, se o áudio está adiantado em 200ms, digite 200 no campo acima
frmSettings.lblAudioDelay	Audio Delay:	Atraso de áudio:
frmSettings.lblExOutputSize	Output Size:	Tamanho da saída:
frmSettings.chkAdvancedSettings	Show Advanced Settings	Exibir configurações avançadas
frmSettings.cmdCancel	Cancel	Cancelar
frmSettings.chkInterlaced	Interlaced Recording	Gravação entrelaçada
frmSettings.lblDefaultFolder	Default Folder for Recordings	Pasta padrão para gravações
frmSettings.lblRecordingFilenameFormat	Filename Format	Formato de arquivo
frmSettings.cmdBrowse	Browse	Procurar
frmSettings.chkRecordingSetup	Automatically Setup Recording With Previous Settings	Configurar automaticamente com as definições anteriores
frmSettings.lblRecordingMemoryBuffer	Recording Memory Buffer	Buffer de memória de gravação
frmSettings.lblBuffer	5 Frames (Between 20 MB and 40 MB for 1080p)	5 quadros (entre 20 MB e 40 MB para 1080p)
frmSettings.lblFFMpegFormats	Play the file types below using the FFMPEG decoder (Example: *.mov,*.qt,*.mxf)	Reproduzir os tipos de arquivo abaixo usando decodificador FFMPEG (Exemplo: *.mov, *.qt, *.mxf)
frmSettings.lblFFMPEG	FFMPEG:	FFMPEG:
frmSettings.lblDirectShow	DirectShow:	DirectShow:
frmSettings.lblCamera	Camera:	Câmera:
frmSettings.lblVideo	Video Playback:	Reprodução de vídeo:
frmSettings.lblDeinterlacing	Preferred Deinterlacing:	Desentrelaçamento preferido:
frmSettings.cmdBlockedFilterList	Blocked Filter List	Lista de filtros bloqueados
frmSettings.lblDirectShowFilters	Filters:	Filtros:
frmSettings.lblMPEG2Video	MPEG 2 Video:	Vídeo MPEG 2:
frmSettings.cmd264Properties	Properties	Propriedades
frmSettings.cmdProperties	Properties	Propriedades
frmSettings.lblMPEGAudio	MPEG Audio:	Áudio MPEG:
frmSettings.lblx264Video	x264 Video:	Vídeo x264:
frmSettings.chkDeinterlace	Use vMix Deinterlacing	Usar desentrelaçamento do vMix
frmSettings.cmdAudioProperties	Properties	Propriedades
frmSettings.cmdStopAllScripts	Stop All	Parar tudo
frmSettings.cmdStartStopScript	Start	Começar
frmSettings.cmdRemoveScript	Remove	Remover
frmSettings.cmdEditScript	Edit	Editar
frmSettings.cmdAddScript	Add	Adicionar
frmSettings.chkRadioFarEnabled	Enabled	Ativado
frmSettings.lblRadioFar	Radio-Far Tally Lights	Luzes de tally Radio-Far
frmSettings.lblTallyLightsLLCDescription	These tallys are automatically enabled when plugged in and are assigned to the Input number	Estes tallys são ativados automaticamente quando conectados e atribuídos a um input
frmSettings.lblTallyLightsLLC	Tally Lights LLC / metaSETZ	Tally Lights LLC / metaSETZ
frmSettings.lblWebTallyLightsHelp	Browse to the page below on any WiFi connected device to turn it into an instant Tally Light	Acesse a página abaixo de qualquer dispositivo conectado a WiFi para torná-lo uma luz de tally
frmSettings.lblWebTallyLights	Web Tally Lights	Luzes de tally web
frmSettings.lblArduino	Arduino Tally Lights	Luzes de tally via Arduino
frmSettings.cmdSwapPreviewActive	Swap Preview Active	Trocar Preview e Ativo
frmSettings.cmdTallyReset	Reset to Default	Redefinir para padrão
frmSettings.cmdTallyLightsLegacy	Reset to Legacy Mode	Redefinir para modo Legacy
frmSettings.lblDevicesNotice	No Devices have been enabled yet. Click Enable Devices to set them up.	Nenhum dispositivo foi ativado ainda. Clique em Ativar dispositivos para configurá-los.
frmSettings.cmdDevices	Enable Devices	Ativar dispositivos
frmSettings.cmdExport	Export	Exportar
frmSettings.cmdImport	Import	Importar
frmSettings.cmdRemove	Remove	Remover
frmSettings.cmdClone	Clone	Duplicar
frmSettings.cmdEdit	Edit	Editar
frmSettings.cmdAdd	Add	Adicionar
frmSettings.tMenu.Display	Display	Exibição
frmSettings.tMenu.Outputs / NDI / SRT	Outputs / NDI / SRT	Saídas / NDI / SRT
frmSettings.tMenu.Options	Options	Opções
frmSettings.tMenu.Performance	Performance	Performance
frmSettings.tMenu.Decoders	Decoders	Decodificadores
frmSettings.tMenu.Recording	Recording	Gravação
frmSettings.tMenu.External Output	External Output	Saída externa
frmSettings.tMenu.Audio	Audio	Áudio
frmSettings.tMenu.Audio Outputs	Audio Outputs	Saídas de áudio
frmSettings.tMenu.Web Controller	Web Controller	Controlador web
frmSettings.tMenu.Tally Lights	Tally Lights	Luzes de tally
frmSettings.tMenu.Shortcuts	Shortcuts	Atalhos
frmSettings.tMenu.Activators	Activators	Ativadores
frmSettings.tMenu.Scripting	Scripting	Scripting
frmSettings.tMenu.Alerts	Alerts	Alertas
frmSettings.tMenu.About	About	Sobre
frmSettings.cmdImport	Import	Importar
frmSettings.cmdDefault	Default	Padrão
frmSettings.cmdExport	Export	Exportar
frmWizard.frmWizard	vMix Configuration	Configuração do vMix
frmWizard.lblConfigureDescription	Select a starting configuration for vMix below. These settings can be customised later by clicking the Settings button.	Selecione uma configuração inicial abaixo para o vMix. Estas configuração podem ser personalizadas depois usando o botão Configurar.
frmLanguage.frmLanguage	vMix Language	Idioma do vMix
frmLanguage.lblTranslation	Translations provided by Google Translate	Traduções fornecidas pelo Google Translate
frmLanguage.cboLanguage	English	Inglês
frmTextEditor.frmTextEditor	Title Editor	Editor de títulos
frmTextEditor.tFont	Title Editor	Editor de títulos
frmTextEditor.cmdClocks	Clocks	Horários
frmTextEditor.cmdBrowse	Browse	Procurar
frmTextEditor.lblCountdown	Countdown	Contagem Regressiva
frmTextEditor.cmdCountdownSettings	Settings	Configurar
frmTextEditor.cmdExport	Export	Exportar
frmTextEditor.cmdImport	Import	Importar
frmTextEditor.cmdClear	Clear	Limpar
frmTextEditor.lblPresets	Presets	Pré-definições
frmTextEditor.tabImages	Images	Imagens
frmTextEditor.tabColor	Color	Cor
frmTextEditor.tabText	Text	Texto
frmTextEditor.cmdLiveEdit	Live	Alterar ao vivo
frmDuration.frmDuration	Duration	Duração
frmDuration.gAnimation	Animation	Animação
frmDuration.lblDuration	Duration	Duração
frmDuration.cmdCancel	Cancel	Cancelar
frmMultiCorder.frmMultiCorder	MultiCorder	MultiCorder
frmMultiCorder.chkShowAllInputs	Show unsupported inputs	Exibir entradas não suportadas
frmMultiCorder.lblVMXQuality	Quality:	Qualidade:
frmMultiCorder.chkPreserveFormat	Record NDI in original MOV format	Gravar NDI no formato MOV original
frmMultiCorder.cmdvMix	vMix AVI	vMix AVI
frmMultiCorder.cmdAudioRecording	WAV File Record	Grave WAV Arquivo
frmMultiCorder.chkFragmented	Fault Tolerant	Tolerante a falhas
frmMultiCorder.lblAudioBitRate	Audio Bit Rate:	Taxa de bits do áudio:
frmMultiCorder.chkHardwareEncoder	Use Hardware Encoder	Use Hardware Encoder
frmMultiCorder.lblBitRate	Video Bit Rate:	Taxa de bits de vídeo:
frmMultiCorder.lblFFMPEGABitrate	Audio Quality:	Qualidade Áudio:
frmMultiCorder.lblFFMPEGVBitrate	Video Quality:	Qualidade de vídeo:
frmMultiCorder.lblFFMPEGExt	Format:	Formato:
frmMultiCorder.lblFFMPEGFormat	Codec:	Codec:
frmMultiCorder.cmdFFMPEG	FFMPEG	FFMPEG
frmMultiCorder.lblMinutes	Minutes	Minutos
frmMultiCorder.lblRestartInterval	New File Every:	Cada novo arquivo:
frmMultiCorder.lblAudioSource	Audio:	Áudio:
frmMultiCorder.cmdRecStartStop	Start	Começar
frmMultiCorder.cmdTS	MPEG-2 TS	MPEG-2 TS
frmMultiCorder.cmdMKV	MKV	MKV
frmMultiCorder.cmdAVI	AVI	AVI
frmMultiCorder.lblCodec	Codec:	Codec:
frmMultiCorder.cmdBrowse	Change Recording Folder	Alterar Pasta de Gravação
frmTallyLight.frmTallyLight	Edit Tally Light	Editar luz de tally
frmTallyLight.lblActivePin	Active Pin:	Pin de Ativo:
frmTallyLight.lblPreviewPin	Preview Pin:	Pin de Preview:
frmTallyLight.Cancel_Button	Cancel	Cancelar
frmShortcuts.frmShortcuts	Shortcuts	Atalhos
frmShortcuts.cmdWebInterface	Web Controller	Controlador web
frmShortcuts.cmdEdit	Edit	Editar
frmShortCut.frmShortCut	Add Shortcut	Adicionar atalho
frmShortCut.lblReplayChannel	Replay Channel:	Canal de replay:
frmShortCut.lblMix	Mix:	Mix:
frmShortCut.lblVoice	Phrase	Frase
frmShortCut.lblStreamDeck	StreamDeck	StreamDeck
frmShortCut.cmdDisplayBrowse	Browse	Procurar
frmShortCut.lblDisplayType	Display:	Exibir:
frmShortCut.chkPressure	Pressure Enabled	Ativar pressão
frmShortCut.lblJSIndex	Index	Índice
frmShortCut.lblJSButton	Button	Botão
frmShortCut.chkControllerShow	Show in Web Controller	Exibir no Controlador web
frmShortCut.tabAll	All	Tudo
frmShortCut.chkInputNumber	Assign Shortcut to Input Number	Atribuir atalho para número do Input
frmShortCut.lblMidiValueType	Type	Tipo
frmShortCut.chkMidiValue	Value	Valor
frmShortCut.lblMidiNote	Note	Nota
frmShortCut.lblChannel	Channel	Canal
frmShortCut.lblMilliseconds	Milliseconds	Milissegundos
frmShortCut.cmdFindKey	Find ...	Procurar...
frmShortCut.lblCustomTitle	Title:	Título:
frmShortCut.chkLocal	Local Shortcut (This Preset Only)	Atalho local (somente neste perfil)
frmShortCut.lblValue	Value:	Valor:
frmShortCut.lblInput	Input:	Input:
frmShortCut.lblDescription1	Description1:	Descrição 1:
frmShortCut.lblKey	Key/Control:	Tecla / Controle:
frmShortCut.lblSelectable	Video:	Vídeo:
frmShortCut.lblDuration	Duration:	Duração:
frmShortCut.lblFunc	Function:	Função:
frmShortCut.lblDescription2	Description2:	Descrição 2:
frmShortCut.cmdRemove	&Remove	&Remover
frmShortCut.lblTrigger	Trigger the following keys in addition to this Shortcut:	Usar as teclas a seguir para também acionar este atalho:
frmShortCut.cmdAdd	&Add	&Adicionar
frmShortCut.cmdCancel	Cancel	Cancelar
frmShortCut.tMenu.General	General	Geral
frmShortCut.tMenu.Advanced	Advanced	Avançado
frmPowerPoint.frmPowerPoint	PowerPoint	PowerPoint
frmPowerPoint.chkBlackBorders	Add Black Borders	Adicionar Bordas Pretas
frmPowerPoint.lblMilliseconds	Milliseconds	Milissegundos
frmPowerPoint.lblTransition	Transition:	Transição:
frmPowerPoint.lblEffect	Effect:	Efeito:
frmPowerPoint.lblDuration	Duration:	Duração:
frmPowerPoint.lblSeconds	Seconds	Segundos
frmVirtualSet.frmVirtualSet	Virtual Set Zoom Editor	Editor de Zoom Virtual Set
frmVirtualSet.Cancel_Button	Cancel	Cancelar
frmVirtualSet.cmdResetRotate	Reset	Redefinir
frmVirtualSet.cmdResetZoomY	Reset	Redefinir
frmVirtualSet.cmdResetZoomX	Reset	Redefinir
frmVirtualSet.lblZoomY	Zoom Y:	Zoom Y:
frmVirtualSet.lblRotateZ	Rotate:	Girar:
frmVirtualSet.lblZoomX	Zoom X:	Zoom X:
frmVirtualSet.cmdResetPanY	Reset	Redefinir
frmVirtualSet.cmdResetPanX	Reset	Redefinir
frmVirtualSet.cmdResetZoom	Reset	Redefinir
frmVirtualSet.lblPanY	Pan Y:	Pan Y:
frmVirtualSet.lblPanX	Pan X:	Pan X:
frmVirtualSet.lblZoom	Zoom:	Zoom:
frmCountdown.frmCountdown	Countdown Settings	Configurar contagem regressiva
frmCountdown.lblCurrentTime	Current Time	Tempo atual
frmCountdown.chkReverseDisplay	Display (00:00:00) when Stopped	Mostrar (00:00:00) quando parado
frmCountdown.cmdCancel	Cancel	Cancelar
frmCountdown.chkCountdownReverse	Reverse	Contagem progressiva
frmCountdown.lblDisplayFormat	Display Format	Mostrar Formato
frmCountdown.lblDuration	Duration	Duração
frmCountdown.lblStartTime	Stop Time	Parar tempo em
frmStreaming.frmStreaming	Streaming Settings	Configurações de streaming
frmStreaming.lblProvider	Destination	Destino
frmStreaming.chkUseStream1Quality	Use Stream 1 Quality	Use Stream 1 Quality
frmStreaming.lblStream	Stream Name or Key	Chave de transmissão
frmStreaming.lblURL	URL	URL
frmStreaming.cmdAdvanced	Advanced	Avançado
frmStreaming.chkHWEncoding	Use Hardware Encoder	Usar encoder via hardware
frmStreaming.cmdInfo	Sign Up	Inscrever-se
frmStreaming.lblChannel	Channel	Canal
frmStreaming.cmdLogin	Login and Update Channels	Acesso e atualização Canais
frmStreaming.lblPassword	Password	Senha
frmStreaming.lblUsername	Username	Usuário
frmStreaming.lblQuality	Quality	Qualidade
frmStreaming.lblStreamingType	Application	Aplicativo
frmStreaming.cmdDelete	Delete	Excluir
frmStreaming.cmdAdd	Add	Adicionar
frmStreaming.lblProfile	Profile	Perfil
frmStreaming.cmdStartStopAll	Start All	Iniciar tudo
frmStreaming.cmdLog	View Status	Ver Estado
frmStreaming.cmdClose	Save and Close	Salvar e Fechar
frmStreaming.cmdStartStop	Start	Começar
frmActivate.frmActivate	vMix Activation	Ativação vMix
frmActivate.lblActivationInformation	Your vMix Registration Key needs to be activated again due to a recent system change or software upgrade. Click Activate below to continue.	Sua chave de registro do vMix precisa ser ativado novamente devido a uma mudança de sistema recente ou atualização de software. Clique em Ativar abaixo para continuar.
frmActivate.cmdExit	Exit	Sair
frmActivate.cmdActivate	Activate	Ativar
frmActivate.lblInternetAccess	Internet access required to complete Activation	Para completar a ativação é necessário acesso à internet
frmActivate.lblRegistration	Activation	Ativação
frmOpenPreset.frmOpenPreset	Open Preset	Abrir perfil
frmOpenPreset.cmdBundlePathBrowse	Browse	Procurar
frmOpenPreset.lblBundlePath	Save Files in Bundle to Folder:	Salvar arquivos em Bundle para a pasta:
frmOpenPreset.lblMessage	One or more files are missing, click Locate File for each item	Um ou mais arquivos estão faltando, clique em Localizar arquivo em cada item
frmOpenPreset.cmdLocateFile	Locate File	Localizar arquivo
frmOpenPreset.cmdUnselectAll	Unselect All	Desmarcar tudo
frmOpenPreset.cmdCancel	Cancel	Cancelar
frmOpenPreset.cmdAppend	Append	Anexar
frmOpenPreset.cmdOpen	Open	Abrir
frmEditCapture.frmEditCapture	Edit Capture	Editar captura
frmEditCapture.cmdRename	Edit	Editar
frmEditCapture.cmdReset	Reset	Redefinir
frmEditCapture.cmdCancel	Cancel	Cancelar
frmEditScript.frmEditScript	Edit Script	Editar Script
frmEditScript.chkLocal	Local Script (This Preset Only)	Script local (somente neste perfil)
frmEditScript.lblName	Name	Nome
frmEditScript.cmdImport	Import	Importar
